"","Code","Country.x","Y_2013","Y_2010","Y_2005","Y_2000","X","WHO_region","Country.y","UN_population","At_risk","At_high_risk","Suspected_malaria_cases"
"1","AFG","Afghanistan",250000,460000,780000,1500000,1,"Eastern Mediterranean","Afghanistan",31627506,75.58,26.91,390000
"2","AGO","Angola",3400000,2400000,5400000,4800000,2,"African","Angola",24227524,100,100,3100000
"3","ARG","Argentina",0,NA,190,240,3,"Region of the Americas","Argentina",42980026,NA,NA,NA
"4","AZE","Azerbaijan",0,0,260,1700,4,"European","Azerbaijan",9629779,NA,NA,NA
"5","BDI","Burundi",1400000,1900000,2200000,2800000,5,"African","Burundi",10816860,100,100,1400000
"6","BEN","Benin",3100000,3200000,3400000,2700000,6,"African","Benin",10598482,100,100,3200000
"7","BFA","Burkina Faso",7100000,9400000,7400000,7200000,7,"African","Burkina Faso",17589198,100,100,7000000
"8","BGD","Bangladesh",700000,670000,1100000,3100000,8,"South-East Asia","Bangladesh",159077513,10.36,2.66,8400
"9","BLZ","Belize",NA,180,1800,1700,9,"Region of the Americas","Belize",351706,NA,NA,50
"10","BOL","Bolivia (Plurinational State of)",10600,20000,30000,48000,10,"Region of the Americas","Bolivia",10561887,45.37,2.5,9900
"11","BRA","Brazil",230000,440000,820000,1200000,11,"Region of the Americas","Brazil",206077898,20.3,2.3,180000
"12","BTN","Bhutan",NA,480,2000,6700,12,"South-East Asia","Bhutan",765008,NA,NA,50
"13","BWA","Botswana",1000,3300,2300,26000,13,"African","Botswana",2219937,66.3,4.21,710
"14","CAF","Central African Republic",1500000,1600000,1900000,1600000,14,"African","Central African Republic",4804316,100,100,1400000
"15","CHN","China",4800,5900,23000,29000,15,"Western Pacific","China",1377240453,NA,NA,50
"16","CIV","C’‚te d'Ivoire",8300000,9000000,9600000,8700000,16,"African","Cote d'Ivoire",22157107,100,100,7900000
"17","CMR","Cameroon",5200000,5700000,8000000,6300000,17,"African","Cameroon",22773014,100,71,5300000
"18","COD","Democratic Republic of the Congo",21000000,28000000,29000000,24000000,18,"African","Democratic Republic of the Congo",74877030,100,97,19000000
"19","COG","Congo",820000,880000,1200000,1100000,19,"African","Congo",4504962,100,100,800000
"20","COL","Colombia",79000,180000,190000,320000,20,"Region of the Americas","Colombia",47791393,22.23,4.51,79000
"21","COM","Comoros",124000,140000,120000,110000,21,"African","Comoros",769991,100,47.58,2900
"22","CPV","Cabo Verde",NA,140,220,490,22,"African","Cabo Verde",513906,NA,NA,50
"23","CRI","Costa Rica",NA,120,3900,2100,23,"Region of the Americas","Costa Rica",4757606,NA,NA,NA
"24","DJI","Djibouti",5400,1600,7900,10000,24,"Eastern Mediterranean","Djibouti",876174,50,0,5600
"25","DMA","Dominican Republic",800,3400,5300,1600,25,"Region of the Americas","Dominican Republic",10405943,48.18,0.92,870
"26","DZA","Algeria",NA,NA,NA,0,26,"African","Algeria",38934334,NA,NA,0
"27","ECU","Ecuador",400,2100,19000,110000,27,"Region of the Americas","Ecuador",15902916,NA,NA,680
"28","ERI","Eritrea",74000,93000,28000,70000,28,"African","Eritrea",5110444,100,71,65000
"29","ETH","Ethiopia",3800000,4400000,4800000,8900000,29,"African","Ethiopia",96958732,68,27.2,2800000
"30","GAB","Gabon",350000,230000,230000,440000,30,"African","Gabon",1687673,100,100,400000
"31","GEO","Georgia",0,0,170,270,31,"European","Georgia",4034774,NA,NA,NA
